"Activity" "Subject" "Mean" "SD"
"1" "WALKING" "1" "-0.319105810200331" "0.00612829384234482"
"2" "WALKING" "2" "-0.385708093716054" "0.00575255233050586"
"3" "WALKING" "3" "-0.386865862874514" "0.00884159803761072"
"4" "WALKING" "4" "-0.43055661483918" "0.00507605619593368"
"5" "WALKING" "5" "-0.378535121986988" "0.00807472739812987"
"6" "WALKING" "6" "-0.337513362522582" "0.00930581964476843"
"7" "WALKING" "7" "-0.306764482858546" "0.0106910587982802"
"8" "WALKING" "8" "-0.299755499867352" "0.00690312225691774"
"9" "WALKING" "9" "-0.37164660578822" "0.00950771764237863"
"10" "WALKING" "10" "-0.327086776127028" "0.00682521907592387"
"11" "WALKING" "11" "-0.431366510871248" "0.00565358373099719"
"12" "WALKING" "12" "-0.355560155447154" "0.00808761735441824"
"13" "WALKING" "13" "-0.316988827925179" "0.00781147042312876"
"14" "WALKING" "14" "-0.385501824502105" "0.00745380238539878"
"15" "WALKING" "15" "-0.390526282476396" "0.00628895779122464"
"16" "WALKING" "16" "-0.431362808379042" "0.00604065386914756"
"17" "WALKING" "17" "-0.387039462708526" "0.00756913145232258"
"18" "WALKING" "18" "-0.436306077297177" "0.00510296878927497"
"19" "WALKING" "19" "-0.238252786596887" "0.0112543471851854"
"20" "WALKING" "20" "-0.259518117088663" "0.014349400212431"
"21" "WALKING" "21" "-0.330648706245588" "0.00772823571737818"
"22" "WALKING" "22" "-0.274200987116311" "0.0108337317193043"
"23" "WALKING" "23" "-0.265296718829829" "0.0124679805915028"
"24" "WALKING" "24" "-0.416975175176002" "0.00738932582491377"
"25" "WALKING" "25" "-0.460842122215599" "0.00450635385493924"
"26" "WALKING" "26" "-0.392008755561813" "0.00659690484419026"
"27" "WALKING" "27" "-0.377771272094104" "0.0064671566230772"
"28" "WALKING" "28" "-0.393787255237739" "0.00803856358264725"
"29" "WALKING" "29" "-0.352894943404783" "0.00484836134493906"
"30" "WALKING" "30" "-0.373607524126774" "0.00873145822797097"
"31" "WALKING_UPSTAIRS" "1" "-0.40699661814598" "0.00829714621800431"
"32" "WALKING_UPSTAIRS" "2" "-0.363983305102955" "0.0091502829001162"
"33" "WALKING_UPSTAIRS" "3" "-0.424274671811149" "0.00671156910336991"
"34" "WALKING_UPSTAIRS" "4" "-0.415260374462441" "0.00690563168988367"
"35" "WALKING_UPSTAIRS" "5" "-0.356353464901252" "0.00834804162755231"
"36" "WALKING_UPSTAIRS" "6" "-0.330642340129316" "0.0107000410206455"
"37" "WALKING_UPSTAIRS" "7" "-0.427408293255387" "0.00660173643582435"
"38" "WALKING_UPSTAIRS" "8" "-0.293377815632218" "0.0100144446334003"
"39" "WALKING_UPSTAIRS" "9" "-0.427075431896002" "0.0107727357275071"
"40" "WALKING_UPSTAIRS" "10" "-0.345652600356602" "0.00795480697929748"
"41" "WALKING_UPSTAIRS" "11" "-0.43527506672087" "0.00643279201018853"
"42" "WALKING_UPSTAIRS" "12" "-0.42179157558609" "0.00663784634446244"
"43" "WALKING_UPSTAIRS" "13" "-0.411582073864772" "0.00881565722130053"
"44" "WALKING_UPSTAIRS" "14" "-0.285486358859423" "0.0143207577800294"
"45" "WALKING_UPSTAIRS" "15" "-0.393720911542089" "0.00846123647474577"
"46" "WALKING_UPSTAIRS" "16" "-0.440146451770759" "0.0102887044727335"
"47" "WALKING_UPSTAIRS" "17" "-0.401431355861112" "0.00914861778966067"
"48" "WALKING_UPSTAIRS" "18" "-0.470681472754459" "0.00737516017712152"
"49" "WALKING_UPSTAIRS" "19" "-0.316821118319495" "0.0116982949985049"
"50" "WALKING_UPSTAIRS" "20" "-0.338291941451443" "0.00785682695812905"
"51" "WALKING_UPSTAIRS" "21" "-0.381967006088137" "0.00689400508151837"
"52" "WALKING_UPSTAIRS" "22" "-0.305185521541175" "0.0072481941860537"
"53" "WALKING_UPSTAIRS" "23" "-0.369581312588007" "0.00854166312380122"
"54" "WALKING_UPSTAIRS" "24" "-0.43583828688532" "0.00664217125196702"
"55" "WALKING_UPSTAIRS" "25" "-0.48551223324769" "0.00651708497979814"
"56" "WALKING_UPSTAIRS" "26" "-0.41167278243368" "0.00677359140731022"
"57" "WALKING_UPSTAIRS" "27" "-0.426267052017458" "0.00950520858439385"
"58" "WALKING_UPSTAIRS" "28" "-0.401092965937606" "0.0084396522283789"
"59" "WALKING_UPSTAIRS" "29" "-0.364429747315138" "0.00659743976103536"
"60" "WALKING_UPSTAIRS" "30" "-0.439370730188029" "0.00825310628180675"
"61" "WALKING_DOWNSTAIRS" "1" "-0.297226292824001" "0.00817534829268225"
"62" "WALKING_DOWNSTAIRS" "2" "-0.259677293061387" "0.00775020121835924"
"63" "WALKING_DOWNSTAIRS" "3" "-0.350536138554404" "0.00882781441043443"
"64" "WALKING_DOWNSTAIRS" "4" "-0.363790441016887" "0.0108256100379244"
"65" "WALKING_DOWNSTAIRS" "5" "-0.296901580091929" "0.00821487884978697"
"66" "WALKING_DOWNSTAIRS" "6" "-0.198922424840441" "0.0163304347200308"
"67" "WALKING_DOWNSTAIRS" "7" "-0.317129508211319" "0.00952049767496349"
"68" "WALKING_DOWNSTAIRS" "8" "-0.19351985419359" "0.0143351488893343"
"69" "WALKING_DOWNSTAIRS" "9" "-0.313140747277053" "0.00916358475833244"
